ItemNumber, cla_maj_femi, qtd_maj_femi, cla_maj_masc, qtd_maj_masc, f1_class, f2_class, f3_class, f4_class, m1_class, m2_class, m3_class, m4_class, f1_tempo, f2_tempo, f3_tempo, f4_tempo, m1_tempo, m2_tempo, m3_tempo, m4_tempo
       692, positiva    ,            3, positiva    ,            4, positiva, positiva, positiva, neutra  , positiva, positiva, positiva, positiva,   15.222,   29.217,    3.594,   10.669,    6.425,    6.466,    7.63 ,  102.206
       693, neutra      ,            3, positiva    ,            2, negativa, neutra  , neutra  , neutra  , positiva, negativa, negativa, positiva,    3.505,   25.061,    3.909,    8.674,    2.229,    5.198,    2.224,    3.513
       694, neutra      ,            3, positiva    ,            2, positiva, neutra  , neutra  , neutra  , positiva, neutra  , neutra  , positiva,    9.549,   13.214,    4.588,    4.4  ,   22.281,   17.567,    6.205,    6.222
       695, positiva    ,            3, positiva    ,            3, positiva, positiva, positiva, neutra  , positiva, positiva, negativa, positiva,    9.648,    7.607,    2.871,   12.451,    9.459,   11.783,    8.729,    1.92
       696, neutra      ,            4, neutra      ,            2, neutra  , neutra  , neutra  , neutra  , neutra  , neutra  , positiva, positiva,    8.592,    5.989,    3.695,   18.505,    5.288,    8.337,    4.378,    2.64
       697, neutra      ,            4, neutra      ,            4, neutra  , neutra  , neutra  , neutra  , neutra  , neutra  , neutra  , neutra  ,    7.094,    4.27 ,    3.102,    3.808,    3.268,    5.474,    3.775,    2.848
       698, positiva    ,            3, positiva    ,            3, positiva, positiva, positiva, neutra  , positiva, positiva, neutra  , positiva,    5.779,    4.371,    3.151,    4.029,    2.983,    7.025,    6.12 ,    3.309
       699, negativa    ,            2, negativa    ,            4, negativa, neutra  , negativa, neutra  , negativa, negativa, negativa, negativa,    6.231,    4.536,    2.778,    2.304,    2.86 ,    3.804,    9.052,    3.334
       700, neutra      ,            3, neutra      ,            4, neutra  , neutra  , positiva, neutra  , neutra  , neutra  , neutra  , neutra  ,    5.96 ,    5.439,    8.44 ,    4.267,    8.741,    6.625,    5.4  ,    3.914
       701, neutra      ,            2, positiva    ,            4, neutra  , positiva, positiva, neutra  , positiva, positiva, positiva, positiva,    3.304,    2.568,    1.88 ,    4.157,    1.777,    2.783,    1.846,    1.88
