ItemNumber, cla_maj_femi, qtd_maj_femi, cla_maj_masc, qtd_maj_masc, f1_class, f2_class, f3_class, f4_class, m1_class, m2_class, m3_class, m4_class, f1_tempo, f2_tempo, f3_tempo, f4_tempo, m1_tempo, m2_tempo, m3_tempo, m4_tempo
         1, positiva    ,            4, positiva    ,            4, positiva, positiva, positiva, positiva, positiva, positiva, positiva, positiva,   30.117,  293.973,   21.735,   39.664,  105.63 ,   16.967,  299.204,   14.928
         2, positiva    ,            4, positiva    ,            3, positiva, positiva, positiva, positiva, positiva, negativa, positiva, positiva,   13.839,  237.617,   83.358,   24.249,   22.499,    9.802,   11.472,    6.073
         3, negativa    ,            3, negativa    ,            2, negativa, negativa, negativa, neutra  , negativa, positiva, negativa, neutra  ,   15.344,   13.894,    8.584,  133.325,   20.098,    8.17 ,   16.59 ,   13.952
         4, neutra      ,            2, neutra      ,            3, neutra  , negativa, neutra  , positiva, positiva, neutra  , neutra  , neutra  ,   16.747,   16.986,   10.61 ,   10.337,   33.871,   11.848,   22.167,    9.798
         5, positiva    ,            3, positiva    ,            3, positiva, positiva, negativa, positiva, positiva, positiva, positiva, neutra  ,    8.405,   14.191,    3.9  ,    5.129,    8.789,    3.306,    5.719,    4.554
         6, negativa    ,            2, positiva    ,            2, positiva, neutra  , negativa, negativa, negativa, neutra  , positiva, positiva,   12.926,  108.24 ,    4.675,    8.808,   22.232,    7.104,    8.04 ,   10.01
         7, positiva    ,            3, positiva    ,            3, positiva, positiva, negativa, positiva, positiva, neutra  , positiva, positiva,    2.833,    3.28 ,    2.978,    3.648,    9.476,    3.751,    2.749,    1.999
         8, positiva    ,            4, positiva    ,            4, positiva, positiva, positiva, positiva, positiva, positiva, positiva, positiva,    4.92 ,    4.871,    3.186,   32.383,    8.355,    5.403,   32.544,    3.804
         9, negativa    ,            3, neutra      ,            2, negativa, negativa, neutra  , negativa, negativa, positiva, neutra  , neutra  ,    8.189,   10.821,    4.785,    3.991,   15.172,    5.113,   10.871,    9.746
        10, neutra      ,            2, negativa    ,            3, neutra  , neutra  , negativa, negativa, negativa, negativa, negativa, neutra  ,    5.403,    6.905,    3.438,    4.378,    3.028,    5.199,    3.439,    5.008
        11, positiva    ,            3, positiva    ,            3, positiva, negativa, positiva, positiva, positiva, neutra  , positiva, positiva,   14.244,  800.635,    5.306,   28.293,    6.941,    5.385,    5.521,    5.618
        12, neutra      ,            4, neutra      ,            4, neutra  , neutra  , neutra  , neutra  , neutra  , neutra  , neutra  , neutra  ,   13.245, 1582.188,    4.88 ,    3.254,    6.239,    5.464,    3.671,    6.162
        13, positiva    ,            3, neutra      ,            2, positiva, positiva, positiva, neutra  , negativa, neutra  , positiva, neutra  ,    8.607,    7.85 ,    6.736,    3.727,   10.155,    5.119,    4.079,    6.632
        14, negativa    ,            4, negativa    ,            3, negativa, negativa, negativa, negativa, negativa, neutra  , negativa, negativa,   14.575,   24.847,    5.93 ,   10.368,    9.016,    3.674,    8.823,   15.105
        15, positiva    ,            2, positiva    ,            2, neutra  , positiva, positiva, negativa, positiva, negativa, positiva, neutra  ,    7.036,   24.452,    3.785,   10.533,   10.872,    4.393,    5.52 ,   11.864
        16, negativa    ,            3, negativa    ,            3, negativa, negativa, negativa, neutra  , negativa, neutra  , negativa, negativa,    5.218,    3.903,    2.506,    3.138,    4.105,    4.83 ,    2.903,    6.764
        17, neutra      ,            4, positiva    ,            2, neutra  , neutra  , neutra  , neutra  , positiva, positiva, neutra  , negativa,    4.154,    5.241,    3.284,    3.75 ,    8.124,    2.752,    4.983,    3.657
        18, negativa    ,            4, negativa    ,            3, negativa, negativa, negativa, negativa, negativa, positiva, negativa, negativa,   16.879,   21.023,    3.538,   14.502,   18.098,    2.006,   11.279,    8.464
        19, negativa    ,            4, negativa    ,            3, negativa, negativa, negativa, negativa, negativa, neutra  , negativa, negativa,    9.124,   12.232,   43.874,  147.336,    8.97 ,    0.797,    4.696,   16.691
        20, positiva    ,            2, negativa    ,            2, positiva, neutra  , positiva, negativa, negativa, negativa, positiva, positiva,   20.471,   12.367,    4.394,    5.394,   11.216,    0.753,    6.856,   11.282
        21, negativa    ,            3, negativa    ,            2, negativa, negativa, negativa, neutra  , negativa, neutra  , negativa, positiva,    2.58 ,    2.649,    3.012,    2.898,    2.465,    1.891,    2.143,    3.856
        22, positiva    ,            2, positiva    ,            3, positiva, negativa, positiva, neutra  , positiva, positiva, positiva, neutra  ,    4.401,    8.58 ,    7.358,    4.784,   10.755,    0.782,    6.399,    8.056
        23, neutra      ,            3, neutra      ,            2, neutra  , neutra  , negativa, neutra  , neutra  , neutra  , negativa, positiva,    8.394,   12.226,    8.957,    6.428,   17.917,    1.17 ,    8.184,    5.992
        24, neutra      ,            2, positiva    ,            3, neutra  , positiva, positiva, neutra  , positiva, negativa, positiva, positiva,    9.274,    8.436,    9.281,    7.124,    8.839,    0.926,    3.705,    6.589
        25, neutra      ,            2, negativa    ,            3, neutra  , negativa, negativa, neutra  , negativa, negativa, negativa, positiva,    7.94 ,   10.134,    6.82 ,    8.082,   10.121,    0.879,    5.253,    7.401
        26, neutra      ,            4, neutra      ,            3, neutra  , neutra  , neutra  , neutra  , neutra  , neutra  , neutra  , positiva,    2.917,   17.368,    2.3  ,    1.988,    4.033,    0.841,    4.136,    5.622
        27, positiva    ,            3, negativa    ,            2, positiva, positiva, positiva, neutra  , negativa, positiva, positiva, negativa,   10.009,   13.674,    7.558,    4.833,   25.949,    1.19 ,    5.59 ,  144.93
        28, neutra      ,            2, negativa    ,            2, negativa, positiva, neutra  , neutra  , negativa, positiva, negativa, neutra  ,   19.985,   19.067,   10.838,    5.441,   13.235,    0.755,    7.561,    8.308
        29, neutra      ,            3, positiva    ,            3, neutra  , negativa, neutra  , neutra  , positiva, positiva, positiva, negativa,   19.284,   21.284,    6.894,   13.468,   22.517,    0.376, 1917.066,    3.306
        30, negativa    ,            3, negativa    ,            2, negativa, negativa, negativa, neutra  , negativa, neutra  , negativa, neutra  ,    8.106,    5.857,    3.949,    7.612,    8.387,    0.829,    6.476,    5.762
        31, neutra      ,            2, positiva    ,            2, neutra  , positiva, positiva, neutra  , positiva, neutra  , positiva, negativa,   10.063,   11.562,    3.141,   12.625,   13.663,    0.395,   67.031,   10.157
        32, negativa    ,            2, positiva    ,            2, negativa, neutra  , negativa, neutra  , positiva, negativa, positiva, negativa,   13.573,   19.459,    7.621,   10.417,   16.188,    0.942,    5.473,   11.504
        33, neutra      ,            3, positiva    ,            2, neutra  , neutra  , negativa, neutra  , neutra  , negativa, positiva, positiva,   16.764,    5.521,    6.581,    3.124,    5.391,    2.401,    6.094,    3.439
        34, positiva    ,            4, positiva    ,            3, positiva, positiva, positiva, positiva, positiva, neutra  , positiva, positiva,    5.838,    6.389,    3.163,    4.393,   14.087,    1.731,    2.527,    4.049
        35, negativa    ,            3, negativa    ,            2, negativa, neutra  , negativa, negativa, negativa, neutra  , negativa, neutra  ,   10.225,   11.066,    3.175,    6.625,    7.975,    0.841,    4.75 ,    7.54
        36, neutra      ,            3, neutra      ,            2, neutra  , neutra  , positiva, neutra  , neutra  , neutra  , positiva, negativa,   13.247,   24.399,    5.113,   10.454,   14.957,    0.931,   14.494,    8.516
        37, negativa    ,            4, negativa    ,            2, negativa, negativa, negativa, negativa, negativa, positiva, negativa, positiva,    2.934,  138.47 ,    1.999,    3.241,    3.876,    1.046,    1.847,    8.673
        38, neutra      ,            4, neutra      ,            2, neutra  , neutra  , neutra  , neutra  , neutra  , positiva, neutra  , positiva,    3.501,    7.488,    2.291,    2.104,    2.919,    0.52 ,    3.543,    6.454
        39, positiva    ,            4, positiva    ,            3, positiva, positiva, positiva, positiva, neutra  , positiva, positiva, positiva,    7.44 ,    8.145,    6.164,   14.339,   19.771,    0.559,   10.855,    4.115
        40, negativa    ,            4, negativa    ,            3, negativa, negativa, negativa, negativa, negativa, negativa, negativa, neutra  ,   11.946,    7.285,    4.449,    9.404,    6.611,   34.269,    3.279,    4.941
        41, neutra      ,            2, positiva    ,            2, neutra  , positiva, positiva, neutra  , positiva, neutra  , positiva, negativa,    5.821,    7.389,    4.67 ,    3.131,    5.708,    0.785,    3.557,    4.163
        42, negativa    ,            4, negativa    ,            2, negativa, negativa, negativa, negativa, negativa, positiva, negativa, neutra  ,   10.174,    7.714,    3.533,    7.508,   11.788,    0.751,   14.897,    6.764
        43, positiva    ,            2, positiva    ,            3, positiva, negativa, positiva, neutra  , positiva, neutra  , positiva, positiva,    5.623,    7.581,    3.404,    2.984,    3.239,    0.761,    4.184,   14.831
        44, positiva    ,            2, positiva    ,            2, positiva, neutra  , positiva, neutra  , positiva, neutra  , positiva, negativa,   10.275,    8.028,    3.596,    7.587,    6.527,    0.834,   10.207,    6.808
        45, neutra      ,            3, neutra      ,            2, neutra  , neutra  , positiva, neutra  , neutra  , negativa, positiva, neutra  ,    6.538,    5.973,    7.053,    3.907,    9.213,    0.675,   10.87 ,    3.982
        46, neutra      ,            4, neutra      ,            3, neutra  , neutra  , neutra  , neutra  , neutra  , neutra  , neutra  , positiva,    9.258,    9.028,    3.963,    6.101,    9.219,    0.625,    6.513,   43.076
        47, positiva    ,            3, positiva    ,            4, positiva, positiva, positiva, neutra  , positiva, positiva, positiva, positiva,   12.529,   13.465,   10.672,    6.9  ,    5.845,    0.663,    7.135,    5.357
        48, negativa    ,            4, negativa    ,            3, negativa, negativa, negativa, negativa, negativa, positiva, negativa, negativa,   17.168,   19.155,    4.689,   15.293,    9.549,    1.485,    5.855,   35.291
        49, negativa    ,            4, negativa    ,            2, negativa, negativa, negativa, negativa, negativa, positiva, negativa, positiva,    9.559,   10.01 ,    4.357,    8.958,    9.434,    0.837,    8.078,    3.719
        50, negativa    ,            4, negativa    ,            3, negativa, negativa, negativa, negativa, negativa, negativa, negativa, neutra  ,    4.136,    6.679,    2.089,    3.875,    3.026,    2.751,    2.057,    5.203
        51, neutra      ,            2, neutra      ,            2, neutra  , positiva, positiva, neutra  , negativa, neutra  , positiva, neutra  ,   11.762,    8.199,    3.44 ,    6.39 ,   10.463,    4.951,    5.759,    6.402
        52, negativa    ,            4, negativa    ,            2, negativa, negativa, negativa, negativa, negativa, neutra  , negativa, neutra  ,    9.511,    6.083,    6.162,    6.458,   10.219,    4.47 ,    6.399,    7.599
        53, neutra      ,            4, neutra      ,            3, neutra  , neutra  , neutra  , neutra  , neutra  , neutra  , neutra  , negativa,    9.923,   16.052,    5.011,    7.705,   21.677,    0.467,    4.88 ,    4.614
        54, positiva    ,            3, positiva    ,            2, positiva, positiva, positiva, neutra  , positiva, negativa, positiva, negativa,   43.329,   12.565,    4.783,   13.815,   19.03 ,    1.044,    5.07 ,    7.777
        55, negativa    ,            4, neutra      ,            2, negativa, negativa, negativa, negativa, neutra  , negativa, negativa, neutra  ,   10.424,    9.537,    5.268,   11.496,   37.187,    0.78 ,    6.144,   75.441
        56, negativa    ,            2, negativa    ,            4, negativa, neutra  , negativa, neutra  , negativa, negativa, negativa, negativa,   10.727,   19.552,    4.018,   13.171,    7.011,    0.374, 1902.936,    6.897
        57, neutra      ,            4, neutra      ,            2, neutra  , neutra  , neutra  , neutra  , neutra  , positiva, neutra  , positiva,    2.233,    2.2  ,    2.106,    2.481,    6.973,    0.818,    2.541,    1.982
        58, positiva    ,            2, positiva    ,            4, positiva, neutra  , positiva, neutra  , positiva, positiva, positiva, positiva,   13.43 ,   27.915,    5.966,   49.282,   10.957,    0.895,   12.903,    7.696
        59, positiva    ,            4, positiva    ,            4, positiva, positiva, positiva, positiva, positiva, positiva, positiva, positiva,   22.058,   19.546,    9.909,    9.52 ,   12.014,    0.251,   10.095,    1.624
        60, positiva    ,            3, positiva    ,            3, positiva, positiva, positiva, neutra  , positiva, neutra  , positiva, positiva,    7.387,    5.8  ,    3.504,    4.932,    8.148,    0.879,   10.799,    3.414
        61, positiva    ,            4, positiva    ,            3, positiva, positiva, positiva, positiva, positiva, negativa, positiva, positiva,    3.317,    2.213,    2.058,    2.881,    2.254,    0.681,    2.038,    2.31
        62, neutra      ,            4, negativa    ,            3, neutra  , neutra  , neutra  , neutra  , negativa, negativa, negativa, positiva,    6.121,    8.153,    3.374,    4.057,   12.271,    0.416,   11.247,    6.493
        63, negativa    ,            4, negativa    ,            2, negativa, negativa, negativa, negativa, negativa, neutra  , negativa, neutra  ,    4.954,    4.305,    3.029,    5.322,    4.415,    1.107,    3.857,    4.196
        64, negativa    ,            3, positiva    ,            2, neutra  , negativa, negativa, negativa, negativa, neutra  , positiva, positiva,    7.339,    8.965,   33.413,   10.298,    9.28 ,    0.734,   16.646,    5.906
        65, negativa    ,            3, negativa    ,            2, negativa, negativa, negativa, neutra  , negativa, neutra  , negativa, positiva,    3.335,    2.641,    2.912,    4.774,    3.495,    0.667,    3.0  ,    3.269
        66, negativa    ,            4, positiva    ,            2, negativa, negativa, negativa, negativa, positiva, positiva, negativa, neutra  ,    4.802,    4.781,    5.94 ,    5.825,   44.335,    0.539,    3.366,   90.671
        67, negativa    ,            2, positiva    ,            3, positiva, negativa, negativa, neutra  , positiva, positiva, positiva, neutra  ,   10.009,   16.073,    4.821,    7.281,   27.677,    0.612,   41.369,    3.585
        68, negativa    ,            4, negativa    ,            2, negativa, negativa, negativa, negativa, negativa, positiva, negativa, neutra  ,   12.145,   12.156,    6.638,    7.483,    6.958,    0.433,  550.98 ,    4.773
        69, neutra      ,            2, neutra      ,            2, neutra  , positiva, negativa, neutra  , neutra  , negativa, negativa, neutra  ,   11.093,    9.213,    3.678,    6.766,   21.878,    0.801,    3.04 ,    4.051
        70, neutra      ,            3, negativa    ,            2, positiva, neutra  , neutra  , neutra  , neutra  , negativa, negativa, positiva,  172.619,   15.409,    8.474,    7.977,   14.82 ,    0.733,    7.986,    3.66
        71, neutra      ,            2, neutra      ,            2, neutra  , negativa, negativa, neutra  , neutra  , negativa, neutra  , positiva,    8.504,    7.56 ,    5.071,    3.985,   10.585,    0.6  ,    4.069,    4.772
        72, negativa    ,            3, negativa    ,            2, negativa, negativa, negativa, neutra  , negativa, neutra  , negativa, positiva,    4.462,    4.319,    1.85 ,    2.99 ,    5.253,    0.877,    3.176,    2.16
        73, negativa    ,            4, negativa    ,            3, negativa, negativa, negativa, negativa, negativa, negativa, negativa, positiva,    3.768,    3.294,    2.043,    9.122,   10.145,   10.015,    3.199,   27.759
        74, neutra      ,            3, neutra      ,            2, neutra  , negativa, neutra  , neutra  , neutra  , neutra  , positiva, positiva,    2.967,    9.002,    3.192,    2.48 ,    6.191,    3.578,    3.248,    1.958
        75, positiva    ,            3, positiva    ,            3, positiva, positiva, positiva, negativa, positiva, neutra  , positiva, positiva,    7.288,   10.363,    8.158,   13.217,    9.425,   11.99 ,    3.511,    2.793
        76, neutra      ,            3, negativa    ,            2, negativa, neutra  , neutra  , neutra  , negativa, neutra  , negativa, positiva,    7.104,    6.936,    4.86 ,    4.421,    9.201,    2.998,    2.335,    3.218
        77, neutra      ,            3, positiva    ,            3, neutra  , neutra  , negativa, neutra  , positiva, neutra  , positiva, positiva,   15.079,   17.596,    3.729,   11.195,   21.655,    0.687,    7.624,    6.529
        78, negativa    ,            2, negativa    ,            3, negativa, neutra  , negativa, neutra  , negativa, negativa, negativa, positiva,    5.085,    6.102,    5.431,    3.225,    4.067,    0.833,    5.648,    3.646
        79, neutra      ,            2, neutra      ,            2, neutra  , positiva, negativa, neutra  , negativa, positiva, neutra  , neutra  ,   10.008,    8.93 ,    3.141,    7.289,   28.705,    0.827,    7.414,    4.103
        80, negativa    ,            3, negativa    ,            2, negativa, neutra  , negativa, negativa, negativa, neutra  , negativa, positiva,    4.784,    5.081,    2.044,    3.052,    3.243,    3.319,    5.287,    3.108
        81, neutra      ,            3, positiva    ,            3, neutra  , positiva, neutra  , neutra  , positiva, neutra  , positiva, positiva,   25.077,   13.758,    9.184,   11.73 ,    7.172,    1.878,    5.377,    4.919
        82, negativa    ,            4, negativa    ,            2, negativa, negativa, negativa, negativa, negativa, neutra  , negativa, positiva,    3.081,    4.337,    2.503,    3.06 ,    2.452,    0.8  ,    2.238,    2.884
        83, negativa    ,            4, negativa    ,            3, negativa, negativa, negativa, negativa, negativa, neutra  , negativa, negativa,    3.755,    4.746,    2.489,    8.839,    7.702,    0.424,    3.047,    6.687
        84, neutra      ,            3, neutra      ,            2, neutra  , neutra  , negativa, neutra  , negativa, neutra  , positiva, neutra  ,   16.333,   21.091,    7.873,   13.429,   13.707,    0.36 ,   84.263,    6.229
        85, neutra      ,            4, neutra      ,            2, neutra  , neutra  , neutra  , neutra  , neutra  , negativa, neutra  , positiva,    5.888,    5.768,    3.005,    3.286,    5.731,    1.588,    4.168,    2.541
        86, positiva    ,            3, positiva    ,            2, positiva, positiva, positiva, neutra  , neutra  , negativa, positiva, positiva,    8.638,   11.1  ,    4.12 ,    1.99 ,    4.547,    0.521,    2.759,    4.053
        87, neutra      ,            4, negativa    ,            2, neutra  , neutra  , neutra  , neutra  , negativa, positiva, negativa, positiva,    4.372,    5.699,    2.742,    4.093,    3.189,    0.99 ,    5.302,    2.009
        88, negativa    ,            3, positiva    ,            2, negativa, negativa, negativa, positiva, positiva, positiva, negativa, neutra  ,    8.421,    6.06 ,    3.259,   10.202,   64.686,    0.725,   23.871,    5.575
        89, positiva    ,            3, positiva    ,            3, positiva, positiva, positiva, negativa, negativa, positiva, positiva, positiva,   14.163,    9.303,    3.799,    8.423,   21.966,    0.212,   62.64 ,    5.057
        90, negativa    ,            3, positiva    ,            2, neutra  , negativa, negativa, negativa, negativa, positiva, neutra  , positiva,    4.503,    7.646,    2.93 ,    4.252,    6.931,    0.201,    6.693,    4.719
        91, positiva    ,            2, positiva    ,            3, positiva, neutra  , negativa, positiva, positiva, positiva, negativa, positiva,    8.29 ,    8.852,    3.372,    9.725,   12.833,    0.454,    3.432,    2.862
        92, positiva    ,            3, positiva    ,            3, positiva, positiva, positiva, neutra  , positiva, neutra  , positiva, positiva,    2.768,    8.074,    1.719,    7.38 ,    3.27 ,    0.635,    5.0  ,    1.688
        93, positiva    ,            3, positiva    ,            3, positiva, positiva, positiva, neutra  , positiva, neutra  , positiva, positiva,    7.505,   12.126,    2.998,    7.18 ,   23.37 ,    0.395,    4.549,    4.774
        94, neutra      ,            3, neutra      ,            2, positiva, neutra  , neutra  , neutra  , neutra  , negativa, neutra  , positiva,    6.189,   16.488,    2.421,    5.607,   13.827,    0.506,    2.839,    4.173
        95, negativa    ,            4, negativa    ,            4, negativa, negativa, negativa, negativa, negativa, negativa, negativa, negativa,    6.571,    5.027,    8.585,    5.041,    4.703,    0.769,    3.44 ,   70.189
        96, positiva    ,            4, positiva    ,            2, positiva, positiva, positiva, positiva, positiva, negativa, positiva, neutra  ,    5.954,    7.186,    2.846,    4.807,   15.845,    0.708,    7.872,    6.054
        97, neutra      ,            3, neutra      ,            3, positiva, neutra  , neutra  , neutra  , neutra  , neutra  , neutra  , positiva,    4.902,    5.296,    2.637,    3.632,    3.525,    0.659,    3.089,    2.648
        98, positiva    ,            3, positiva    ,            3, positiva, positiva, positiva, neutra  , positiva, neutra  , positiva, positiva,   13.916,    4.16 ,    2.469,    2.558,    7.589,    1.169,    2.806,    1.899
        99, positiva    ,            2, neutra      ,            2, positiva, negativa, positiva, neutra  , negativa, neutra  , positiva, neutra  ,   17.899,   44.808,    4.953,   18.697,   28.937,    1.025,    8.84 ,   49.536
       100, positiva    ,            4, neutra      ,            3, positiva, positiva, positiva, positiva, neutra  , neutra  , negativa, neutra  ,    7.545,   12.525,    1.935,    5.918,   14.061,    0.862,    2.392,    2.587
       101, positiva    ,            4, positiva    ,            3, positiva, positiva, positiva, positiva, positiva, negativa, positiva, positiva,    4.562,    3.9  ,    4.902,    4.868,    5.435,    1.189,    3.359,    4.18
       102, negativa    ,            4, negativa    ,            2, negativa, negativa, negativa, negativa, negativa, positiva, negativa, positiva,   10.126,    9.999,    4.113,    5.974,    4.531,    0.91 ,    3.008,   25.966
       103, negativa    ,            4, negativa    ,            3, negativa, negativa, negativa, negativa, negativa, positiva, negativa, negativa,    5.505,    8.172,    2.473,    7.053,    6.499,    0.436,    3.0  ,    4.294
       104, neutra      ,            4, neutra      ,            3, neutra  , neutra  , neutra  , neutra  , neutra  , neutra  , neutra  , positiva,    4.219,    5.568,    4.22 ,    2.755,    3.649,    1.21 ,    2.16 ,    1.796
       105, neutra      ,            4, neutra      ,            2, neutra  , neutra  , neutra  , neutra  , neutra  , negativa, neutra  , negativa,   14.229,   18.514,    2.616,    4.793,    8.004,    3.882,   11.879,    3.853
       106, neutra      ,            2, positiva    ,            3, neutra  , positiva, neutra  , positiva, positiva, neutra  , positiva, positiva,    3.451,    5.536,    3.13 ,    3.178,    9.148,    2.929,    3.608,    2.077
       107, positiva    ,            2, positiva    ,            3, positiva, positiva, neutra  , neutra  , neutra  , positiva, positiva, positiva,    5.988,    9.637,    2.992,    2.77 ,    4.101,    3.499,    3.232,    2.795
       108, positiva    ,            3, positiva    ,            3, positiva, positiva, negativa, positiva, positiva, negativa, positiva, positiva,   11.979,   10.132,    7.014,    7.853,    9.901,    0.782,    8.735,    4.962
       109, positiva    ,            3, positiva    ,            3, positiva, positiva, positiva, neutra  , positiva, negativa, positiva, positiva,    8.606,   26.001,    4.786,   10.32 ,   23.125,    0.417,    4.112,    3.831
       110, positiva    ,            3, positiva    ,            3, positiva, positiva, positiva, neutra  , positiva, neutra  , positiva, positiva,    2.833,    2.898,    2.535,    2.064,    4.221,    0.932,    2.128,    2.518
       111, neutra      ,            3, negativa    ,            2, negativa, neutra  , neutra  , neutra  , negativa, negativa, positiva, positiva,    6.622,    7.262,    4.08 ,    6.828,   10.914,    0.598,    5.191,    3.851
       112, neutra      ,            3, negativa    ,            2, negativa, neutra  , neutra  , neutra  , negativa, neutra  , neutra  , negativa,   11.142,   18.591,    7.896,    9.263,   19.701,    0.628,    6.366,    8.13
       113, neutra      ,            3, positiva    ,            2, negativa, neutra  , neutra  , neutra  , neutra  , positiva, negativa, positiva,    4.601,    7.019,    3.13 ,    2.271,   13.741,    1.095,    3.784,    6.822
       114, positiva    ,            3, positiva    ,            3, positiva, positiva, positiva, neutra  , positiva, positiva, positiva, neutra  ,    5.636,    5.296,    3.01 ,   12.497,    7.827,    0.415,    2.945,    4.548
       115, negativa    ,            4, negativa    ,            2, negativa, negativa, negativa, negativa, negativa, positiva, negativa, neutra  ,    3.919,    3.452,    2.484,    3.805,    2.439,    0.409,    1.951,    8.701
       116, negativa    ,            3, negativa    ,            2, negativa, negativa, negativa, neutra  , negativa, neutra  , negativa, neutra  ,    6.322,    6.973,    7.707,   10.961,   12.711,    0.578,    6.607,    5.212
       117, positiva    ,            4, positiva    ,            3, positiva, positiva, positiva, positiva, positiva, neutra  , positiva, positiva,    6.07 ,    8.144,    2.211, 1302.683,    5.287,    0.698,    2.776,    4.539
       118, neutra      ,            4, neutra      ,            2, neutra  , neutra  , neutra  , neutra  , neutra  , negativa, neutra  , negativa,    5.32 ,    9.445,    2.597,    2.341,    4.581,    0.846,    4.008,    6.731
       119, positiva    ,            3, positiva    ,            2, positiva, positiva, positiva, neutra  , positiva, positiva, negativa, negativa,   10.224,    9.446,    2.508,    5.433,   16.205,    0.715,   26.192,    3.9
       120, positiva    ,            3, positiva    ,            4, positiva, positiva, positiva, neutra  , positiva, positiva, positiva, positiva,    2.451,    2.586,    1.75 ,    3.211,   11.789,    0.862,    2.861,   11.823
       121, neutra      ,            4, positiva    ,            3, neutra  , neutra  , neutra  , neutra  , positiva, negativa, positiva, positiva,   13.494,   10.641,    5.747,    7.641,   11.581,    0.895,    6.378,    4.526
       122, negativa    ,            4, neutra      ,            2, negativa, negativa, negativa, negativa, neutra  , neutra  , negativa, positiva,   17.949,   45.109,    5.61 ,  427.021,   48.941,    0.805,  148.958,    2.851
       123, negativa    ,            4, negativa    ,            2, negativa, negativa, negativa, negativa, negativa, positiva, negativa, neutra  ,    4.302,    4.285,    1.987,    8.637,    2.459,    0.849,    2.59 ,    5.057
       124, positiva    ,            4, positiva    ,            2, positiva, positiva, positiva, positiva, positiva, neutra  , positiva, neutra  ,    3.202,    4.475,    2.161,    3.462,    2.257,    0.493,    1.839,    2.229
       125, neutra      ,            3, neutra      ,            2, neutra  , neutra  , neutra  , negativa, neutra  , positiva, neutra  , positiva,    2.25 ,    2.282,    1.721,    3.937,    1.257,    1.043,    2.552,    1.545
       126, negativa    ,            3, negativa    ,            2, negativa, negativa, negativa, neutra  , negativa, neutra  , negativa, positiva,    4.253,    3.888,    4.833,    6.5  ,    6.165,    0.655,    4.216,    2.707
       127, positiva    ,            3, positiva    ,            3, positiva, positiva, positiva, neutra  , neutra  , positiva, positiva, positiva,    5.52 ,    6.861,    2.837,    8.534,    3.917,    0.579,    5.383,    2.01
       128, positiva    ,            2, positiva    ,            3, positiva, negativa, positiva, neutra  , positiva, negativa, positiva, positiva,    2.767,    4.548,    2.064,    1.786,    3.933,    0.733,    2.079,    1.21
       129, negativa    ,            2, negativa    ,            3, negativa, neutra  , negativa, neutra  , negativa, negativa, negativa, positiva,    7.222,    8.058,    5.463,    3.084,    4.473,    0.377,    3.831,    1.417
       130, negativa    ,            3, negativa    ,            2, negativa, negativa, negativa, neutra  , negativa, neutra  , negativa, neutra  ,    8.19 ,   10.311,    2.836,    7.437,    5.622,    0.793,    7.294,    5.483
       131, negativa    ,            2, positiva    ,            2, positiva, negativa, negativa, neutra  , positiva, neutra  , negativa, positiva,    8.156,    5.388,    1.866,    2.872,    5.041,    0.841,    3.055,    2.519
       132, neutra      ,            3, negativa    ,            2, neutra  , neutra  , positiva, neutra  , negativa, negativa, positiva, positiva,    9.422,   10.975,    6.821,    7.55 ,   10.559,   15.015,    9.457,    6.763
       133, positiva    ,            4, positiva    ,            3, positiva, positiva, positiva, positiva, positiva, negativa, positiva, positiva,    6.854,    3.677,    2.173,    6.294,    7.023,    2.002,    3.097,    3.779
       134, neutra      ,            4, neutra      ,            3, neutra  , neutra  , neutra  , neutra  , neutra  , neutra  , neutra  , positiva,    2.149,    3.506,    3.633,    2.458,    2.633,    2.949,    2.998,    1.736
       135, positiva    ,            4, positiva    ,            3, positiva, positiva, positiva, positiva, positiva, neutra  , positiva, positiva,    8.44 ,   11.89 ,    2.395,    7.095,    4.723,    1.518,    3.952,    4.103
       136, neutra      ,            3, negativa    ,            2, neutra  , neutra  , negativa, neutra  , negativa, negativa, neutra  , positiva,    6.003,    8.526,    2.25 ,    5.239,    7.377,    0.641,    3.462,    1.621
       137, negativa    ,            3, positiva    ,            3, negativa, negativa, negativa, neutra  , negativa, positiva, positiva, positiva,    5.204,    7.919,    2.336,    2.568,    3.399,    0.655,    5.614,    8.947
       138, neutra      ,            4, neutra      ,            3, neutra  , neutra  , neutra  , neutra  , neutra  , neutra  , neutra  , negativa,    7.789,    6.959,    7.399,    3.376,    5.263,    0.964,    2.464,    2.538
       139, positiva    ,            2, positiva    ,            3, positiva, neutra  , positiva, neutra  , positiva, neutra  , positiva, positiva,    3.267,    5.273,    2.616,    2.081,    2.877,    0.223,    2.696,    2.014
       140, negativa    ,            4, negativa    ,            3, negativa, negativa, negativa, negativa, negativa, negativa, positiva, negativa,   17.052,   17.012,    2.553,    5.669,   14.015,    0.722,    7.872,    7.768
       141, negativa    ,            4, negativa    ,            2, negativa, negativa, negativa, negativa, negativa, neutra  , negativa, neutra  ,    3.032,    3.402,    1.568,    6.359,    2.341,    1.101,    3.454,    3.765
       142, positiva    ,            2, positiva    ,            3, positiva, positiva, neutra  , neutra  , positiva, neutra  , positiva, positiva,    9.224,    6.343,    4.822,    5.004,   10.335,    0.302,    3.52 ,    3.056
